filename,category,package_type,sha,size_bytes,previous_path,current_path,lifecycle_note
"Operational-Implementation-Manuals-Pack.zip","institutional-and-church","manual-package","d2e2049d8e4d64945d742b6497cb9960b3133abb","359455","99_UNCLASSIFIED/.archive/Operational-Implementation-Manuals-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Operational-Implementation-Manuals-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Operational-Working-Template-System-FINAL.zip","institutional-and-church","working-template-package","36464e1d99cb2011d024628c6e5a11d22a146c9e","2181796","99_UNCLASSIFIED/.archive/Operational-Working-Template-System-FINAL.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Operational-Working-Template-System-FINAL.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Remaining-Constitutional-Documents-Pack.zip","institutional-and-church","constitutional-package","2f5e5cd2a7e479d819d7dc7a44dcd613aeb1b704","349318","99_UNCLASSIFIED/.archive/Remaining-Constitutional-Documents-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Remaining-Constitutional-Documents-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"community-platform-foundation.zip","digital-platform","foundation-package","d16325da60c833e5701536090639ffe2ef9c05ac","113735","99_UNCLASSIFIED/.archive/community-platform-foundation.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/digital-platform/community-platform-foundation.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_policy_pack.zip","institutional-integrity","policy-package","f81bc4dc963a84ce293b3495dabf40d977163b0b","39025","99_UNCLASSIFIED/.archive/institutional_integrity_policy_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_policy_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_2_complete_release.zip","institutional-integrity","complete-release-archive","9e6c15a5c55944d4e90d24ae68f116cbf09f566f","444476","99_UNCLASSIFIED/.archive/institutional_integrity_v0_2_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_2_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_2_source_pack.zip","institutional-integrity","source-pack-archive","c27654b46b9ddeaa114b074ceff3764c1139c096","60655","99_UNCLASSIFIED/.archive/institutional_integrity_v0_2_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_2_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_3_complete_release.zip","institutional-integrity","complete-release-archive","1e430e2f9c647c982fc5cdd119e8ea3192a99c11","824822","99_UNCLASSIFIED/.archive/institutional_integrity_v0_3_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_3_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_3_source_pack.zip","institutional-integrity","source-pack-archive","dcb115e8616120227f4f0baff9f0b99b5559a8ea","95905","99_UNCLASSIFIED/.archive/institutional_integrity_v0_3_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_3_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_4_complete_release.zip","institutional-integrity","complete-release-archive","2cea732d278d4409f8ffb00a3df2975db409fb8b","1051849","99_UNCLASSIFIED/.archive/institutional_integrity_v0_4_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_4_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"institutional_integrity_v0_4_source_pack.zip","institutional-integrity","source-pack-archive","a0f13a4cae871790029891a9cb3df9ce72e5b7c7","146904","99_UNCLASSIFIED/.archive/institutional_integrity_v0_4_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-integrity/institutional_integrity_v0_4_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"native_religious_lexicon_v0_5_source_pack.zip","religious-source-releases","source-pack-archive","621bc0d714dfa64bf6b5fc07856a49931c75740c","203944","99_UNCLASSIFIED/.archive/native_religious_lexicon_v0_5_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/native_religious_lexicon_v0_5_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_adoption_instantiation_v1_1_complete_release.zip","organizational-releases","complete-release-archive","c9c2dca8c5ef0424b35cec43c40729fe4006db82","655782","99_UNCLASSIFIED/.archive/way_adoption_instantiation_v1_1_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/organizational-releases/way_adoption_instantiation_v1_1_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_community_architecture_v0_6_complete_release.zip","religious-source-releases","complete-release-archive","6a90f0f6fa8a5e5fa9310f8a5a6949c20164ee52","403658","99_UNCLASSIFIED/.archive/way_community_architecture_v0_6_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_community_architecture_v0_6_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_community_architecture_v0_6_source_pack.zip","religious-source-releases","source-pack-archive","a3d7cbea404fc7aae04ec6baf4394eee84ff0a7c","120214","99_UNCLASSIFIED/.archive/way_community_architecture_v0_6_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_community_architecture_v0_6_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_filing_and_board_execution_v1_2_complete_release.zip","organizational-releases","complete-release-archive","734942b3342a12e76f6eaa4edca90784c33761db","571643","99_UNCLASSIFIED/.archive/way_filing_and_board_execution_v1_2_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/organizational-releases/way_filing_and_board_execution_v1_2_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_filing_and_board_execution_v1_2_source_pack.zip","organizational-releases","source-pack-archive","8f934e0e7549eae3338adb965102cf635b8fcfd1","21515","99_UNCLASSIFIED/.archive/way_filing_and_board_execution_v1_2_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/organizational-releases/way_filing_and_board_execution_v1_2_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_foundational_synthesis_v1_0_complete_release.zip","religious-source-releases","complete-release-archive","683dc7968c2fa54a228739a8b10e662698d7a74e","385045","99_UNCLASSIFIED/.archive/way_foundational_synthesis_v1_0_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_foundational_synthesis_v1_0_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_foundational_synthesis_v1_0_source_pack.zip","religious-source-releases","source-pack-archive","22eb660a195f04fc2ffbe4fad794846706b56167","28617","99_UNCLASSIFIED/.archive/way_foundational_synthesis_v1_0_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_foundational_synthesis_v1_0_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_theological_research_v0_8_complete_release.zip","religious-source-releases","complete-release-archive","038e72e96cae511c5ecbb3d7c6648a7103b1244b","507996","99_UNCLASSIFIED/.archive/way_theological_research_v0_8_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_theological_research_v0_8_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_theological_research_v0_8_source_pack.zip","religious-source-releases","source-pack-archive","bcecac7f8ba465d4de0987123e6680157d804cf3","44859","99_UNCLASSIFIED/.archive/way_theological_research_v0_8_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_theological_research_v0_8_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_theological_research_v0_9_complete_release.zip","religious-source-releases","complete-release-archive","242a2a7e9f466bcd94c2d0a96b9f9652726e5c8b","946491","99_UNCLASSIFIED/.archive/way_theological_research_v0_9_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_theological_research_v0_9_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_theology_practice_formation_v0_7_complete_release.zip","religious-source-releases","complete-release-archive","a111cdef1ac77600ad52fd6b229e5a0742ceca9d","370203","99_UNCLASSIFIED/.archive/way_theology_practice_formation_v0_7_complete_release.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_theology_practice_formation_v0_7_complete_release.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"way_theology_practice_formation_v0_7_source_pack.zip","religious-source-releases","source-pack-archive","362aceddcdbdf90fcea40166085b4e28d1a39a5e","9902","99_UNCLASSIFIED/.archive/way_theology_practice_formation_v0_7_source_pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/religious-source-releases/way_theology_practice_formation_v0_7_source_pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
