source_top_level_entry,destination,rationale
foundational_theology_research_dossiers_volume_i_v0_8.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/foundational_theology_research_dossiers_volume_i_v0_8.docx,Flattened theology/practice/community export retained with provenance
foundational_theology_research_dossiers_volume_i_v0_8.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/foundational_theology_research_dossiers_volume_i_v0_8.pdf,Flattened theology/practice/community export retained with provenance
generate_v10.py,90_WORKING_NOTES_AND_SCRIPTS/scripts/generate_v10.py,Loose build/generation/helper script
GOV-FORMS-001-Governance-Forms-and-Decision-Records-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/GOV-FORMS-001-Governance-Forms-and-Decision-Records-Manual.docx,Flattened institutional/operational export also represented in organized subsystems
GOV-PROC-001-Governance-Procedure-Code.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/GOV-PROC-001-Governance-Procedure-Code.docx,Flattened institutional/operational export also represented in organized subsystems
governance,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/governance,Historical or pre-integration package preserved intact to retain provenance
HTERP,02_RESEARCH_AND_EVIDENCE/HTERP,Dedicated historical/transcultural evidence research program
institution,04_INSTITUTION_AND_GOVERNANCE/institution,Canonical/current institutional repository structure
institutional_integrity,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity,"Integrity, safeguarding, compliance, and governance development history"
JUR-001-Civil-Ecclesiastical-Jurisdiction-Code.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/JUR-001-Civil-Ecclesiastical-Jurisdiction-Code.docx,Flattened institutional/operational export also represented in organized subsystems
LOCAL-001-Local-Community-Constitutional-Framework.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/LOCAL-001-Local-Community-Constitutional-Framework.docx,Flattened institutional/operational export also represented in organized subsystems
LOCAL-AFF-OPS-001-Local-Community-and-Affiliation-Implementation-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/LOCAL-AFF-OPS-001-Local-Community-and-Affiliation-Implementation-Manual.docx,Flattened institutional/operational export also represented in organized subsystems
MANIFEST-SHA256.txt,00_START_HERE/original_root_metadata/MANIFEST-SHA256.txt,Original top-level control/readme/manifest metadata
manuals,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/manuals,Historical or pre-integration package preserved intact to retain provenance
MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx,Flattened institutional/operational export also represented in organized subsystems
Ministry-and-Education-Registers.xlsx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/Ministry-and-Education-Registers.xlsx,Flattened institutional/operational export also represented in organized subsystems
native_religious_lexicon_v0_5.csv,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/native_religious_lexicon_v0_5.csv,Flattened theology/practice/community export retained with provenance
native_religious_lexicon_v0_5.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/native_religious_lexicon_v0_5.docx,Flattened theology/practice/community export retained with provenance
native_religious_lexicon_v0_5.json,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/native_religious_lexicon_v0_5.json,Flattened theology/practice/community export retained with provenance
native_religious_lexicon_v0_5.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/native_religious_lexicon_v0_5.pdf,Flattened theology/practice/community export retained with provenance
native_religious_lexicon_v0_5_README.md,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/native_religious_lexicon_v0_5_README.md,Flattened theology/practice/community export retained with provenance
Notes,90_WORKING_NOTES_AND_SCRIPTS/Notes,Working notes separated from authoritative/released material
operations,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations,Historical or pre-integration package preserved intact to retain provenance
Organizational-Compliance-Registers.xlsx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/Organizational-Compliance-Registers.xlsx,Flattened institutional/operational export also represented in organized subsystems
policies,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/policies,Historical or pre-integration package preserved intact to retain provenance
prayer_gatherings_and_rites_book_v0_7.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/prayer_gatherings_and_rites_book_v0_7.docx,Flattened theology/practice/community export retained with provenance
prayer_gatherings_and_rites_book_v0_7.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/prayer_gatherings_and_rites_book_v0_7.pdf,Flattened theology/practice/community export retained with provenance
provisional_theological_baseline_v0_8.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/provisional_theological_baseline_v0_8.docx,Flattened theology/practice/community export retained with provenance
provisional_theological_baseline_v0_8.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/provisional_theological_baseline_v0_8.pdf,Flattened theology/practice/community export retained with provenance
README-Church-IRS-Determination-Package-Draft.txt,00_START_HERE/original_root_metadata/README-Church-IRS-Determination-Package-Draft.txt,Original top-level control/readme/manifest metadata
README-Church-Religious-Identity-Layer-Pack.txt,00_START_HERE/original_root_metadata/README-Church-Religious-Identity-Layer-Pack.txt,Original top-level control/readme/manifest metadata
README.txt,00_START_HERE/original_root_metadata/README.txt,Original top-level control/readme/manifest metadata
README_RELEASE.md,00_START_HERE/original_root_metadata/README_RELEASE.md,Original top-level control/readme/manifest metadata
reference_v0.8,03_RELEASES_AND_BASELINES/reference_v0.8,Versioned reference baseline
references,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/references,Historical or pre-integration package preserved intact to retain provenance
release,03_RELEASES_AND_BASELINES/release_v1_1,Versioned v1.1-era release package from supplied tree
release_v1_0,03_RELEASES_AND_BASELINES/release_v1_0,Versioned released baseline
release_v1_2,03_RELEASES_AND_BASELINES/release_v1_2,Versioned execution/filing release
SAFE-001-Safeguarding-and-Accountability-Framework.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/SAFE-001-Safeguarding-and-Accountability-Framework.docx,Flattened institutional/operational export also represented in organized subsystems
SAFE-OPS-001-Safeguarding-Procedures-and-Forms-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/SAFE-OPS-001-Safeguarding-Procedures-and-Forms-Manual.docx,Flattened institutional/operational export also represented in organized subsystems
SHA256SUMS.txt,00_START_HERE/original_root_metadata/SHA256SUMS.txt,Original top-level control/readme/manifest metadata
source,01_FOUNDATIONAL_SOURCE/source,Current authored foundational source tree; preserve internal relative paths
SUCC-001-Leadership-Succession-Code.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/SUCC-001-Leadership-Succession-Code.docx,Flattened institutional/operational export also represented in organized subsystems
SUCC-OPS-001-Leadership-Succession-Procedures-and-Transition-Forms.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/SUCC-OPS-001-Leadership-Succession-Procedures-and-Transition-Forms.docx,Flattened institutional/operational export also represented in organized subsystems
theological_research_method_and_library_of_witnesses_v0_8.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/theological_research_method_and_library_of_witnesses_v0_8.docx,Flattened theology/practice/community export retained with provenance
theological_research_method_and_library_of_witnesses_v0_8.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/theological_research_method_and_library_of_witnesses_v0_8.pdf,Flattened theology/practice/community export retained with provenance
v0.9,03_RELEASES_AND_BASELINES/v0.9,Versioned theological research release
way-tree,00_START_HERE/inventory/way-tree,Original tree inventory supplied/kept as a navigation artifact
way_community_architecture_v0_6.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_community_architecture_v0_6.docx,Flattened theology/practice/community export retained with provenance
way_community_architecture_v0_6.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_community_architecture_v0_6.pdf,Flattened theology/practice/community export retained with provenance
way_community_forms_and_templates_v0_6.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_community_forms_and_templates_v0_6.docx,Flattened theology/practice/community export retained with provenance
way_community_forms_and_templates_v0_6.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_community_forms_and_templates_v0_6.pdf,Flattened theology/practice/community export retained with provenance
way_theology_practice_formation_architecture_v0_7.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_theology_practice_formation_architecture_v0_7.docx,Flattened theology/practice/community export retained with provenance
way_theology_practice_formation_architecture_v0_7.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/way_theology_practice_formation_architecture_v0_7.pdf,Flattened theology/practice/community export retained with provenance
