category,term,status,definition,preferred_usage,caution
Knowledge & revelation,Revelation,TECHNICAL / PROVISIONAL,A claimed disclosure from God/the Divine/transcendent reality.,claimed revelation; revelation tradition,"A revelation claim never bypasses consent, safeguarding, law, financial controls, or governance."
Knowledge & revelation,Interpretation,ADOPT,"The human act of assigning meaning to an encounter, revelation claim, text, event, or tradition.",interpretation of testimony; competing interpretations,Must remain distinguishable from the underlying evidence or claim.
Knowledge & revelation,Teaching,ADOPT,A proposition or practice currently taught by the Assembly.,a teaching of the Assembly; current teaching,Teachings may carry stated confidence levels and can be revised through discernment.
Knowledge & revelation,Doctrine,RESERVED / FORMAL,A teaching formally adopted with defined status and implications.,formal doctrine,Use sparingly. Do not let informal opinion become doctrine by repetition.
Knowledge & revelation,Tradition,ADOPT,"An inherited body of practices, stories, interpretations, texts, customs, and collective memory.",the Christian tradition; the Assembly’s developing tradition,Tradition is not identical with revelation or infallibility.
Knowledge & revelation,Sacred Sources,PROVISIONAL,"Umbrella term for texts, oral traditions, artifacts, practices, and records treated as spiritually significant in the traditions being studied.",study of Sacred Sources,Does not declare all sources equally authoritative or create a canon.
Knowledge & revelation,Scripture,CONTEXTUAL,"A text regarded as scripture within a particular religious tradition or, later, by the Assembly if explicitly adopted.",Jewish scripture; Islamic scripture; Buddhist scriptures,Do not retroactively label every sacred source “our scripture.”
Knowledge & revelation,Canon,RESERVED,A formally bounded collection of authoritative texts.,canon of a source tradition,No Assembly canon should be presumed before a separate theological/canonical process.
Knowledge & revelation,Inquiry,ADOPT,"Disciplined investigation of religious, historical, philosophical, and experiential claims.",sacred inquiry; historical inquiry,"Inquiry is not a substitute for worship, but neither may worship shut inquiry down."
Knowledge & revelation,Discernment,ADOPT,"A communal and individual process of testing claims, choices, motives, and proposed actions.",discernment meeting; discern a teaching,Discernment does not authorize coercion and is not a magic word for leadership preference.
Devotion & practice,Prayer,ADOPT,"Intentional address, attention, petition, thanksgiving, lament, praise, silence, or communion directed toward God/the Divine as understood by the person or community.",Gathering for Prayer; daily prayer,Specific forms remain to be developed; no one prayer form should be assumed universal yet.
Devotion & practice,Worship,ADOPT,Communal or personal acts oriented toward reverence of God/the Divine or the sacred.,public worship; worship gathering,Theological scope remains open enough for the movement’s eventual doctrine of God/transcendence.
Devotion & practice,Study,ADOPT,"Serious learning from sacred sources, history, languages, scholarship, and lived traditions.",Gathering for Study; study group,"Study should include primary sources, scholarship, and competing interpretations."
Devotion & practice,Service,ADOPT,"Voluntary action for the good of other people, communities, creatures, or the world.",Gathering for Service; service project,"Never condition charitable service on conversion, loyalty, silence, or membership."
Devotion & practice,Offering,ADOPT,"A voluntary gift of money, goods, time, skill, or service.",make an offering; freewill offering,"No offering purchases spiritual status, office, protection, revelation, or preferential treatment."
Devotion & practice,Retreat,ADOPT,"A temporary period of intensified prayer, study, silence, fellowship, or reflection.",weekend retreat; retreat house,Participation must remain voluntary; do not use deprivation or isolation as control techniques.
Devotion & practice,Remembrance,PROVISIONAL,"Intentional recalling of God/the Divine, sacred history, persons, events, teachings, or obligations.",a practice of remembrance,Broadly resonant across traditions; specific ritual meaning should await theology.
Devotion & practice,The Common Table,CANDIDATE,"A possible name for a shared communal meal expressing equality, hospitality, and companionship.",gather at the Common Table,Not yet adopted as a rite. The name becomes especially meaningful because “companion” historically carries the sense of one who shares bread.
Devotion & practice,Rule of Life,PROVISIONAL,A written pattern of common practices and ethical commitments freely undertaken.,personal Rule of Life; common Rule of Life,Must not become a coercive surveillance code. Participation and consequences require due process and conscience protections.
Leadership & ministry,Founder,ADOPT - HISTORICAL ONLY,The person who originated the present institutional project.,Founder of the organization,"Carries no inherent spiritual supremacy, veto, succession right, doctrinal infallibility, or special disciplinary immunity."
Leadership & ministry,Minister,PROVISIONAL,"A person formally entrusted with defined functions of prayer, pastoral care, worship, teaching, rites, or service.",commissioned Minister; ministry team,"Should be an accountable function, not a sacred caste. Exact ordination/commissioning theology remains open."
Leadership & ministry,Teacher,ADOPT,A person recognized or assigned to teach within an area of demonstrated competence.,Teacher of history; Teacher in a House of Prayer,"Teaching authority is subject to sources, review, correction, and scope of competence."
Leadership & ministry,Steward,ADOPT,"A person entrusted with resources, operations, property, administration, or a defined communal responsibility.",House Steward; Steward of Finance,"Stewardship means custody on behalf of others, not ownership or spiritual rank."
Leadership & ministry,Elder,PROVISIONAL,"A possible term for a person recognized for maturity, wisdom, long service, and sound judgment.",an Elder of the Assembly,"If adopted, it should confer no automatic executive, financial, or revelatory authority."
Leadership & ministry,Council,PROVISIONAL,"A deliberative body convened for a defined spiritual, ethical, or communal purpose.",Council of the Assembly; Council of Houses,Corporate powers remain with legally defined bodies. Council jurisdiction must be written and limited.
Leadership & ministry,Commissioning,ADOPT - PROCESS,Formal authorization of a person for a defined ministry or service.,commissioning a Minister; letter of commissioning,Preferred working term before a theology of ordination is settled; authorization is revocable through due process.
Leadership & ministry,Ordination,RESERVED,A possible future religious act establishing an ordained ministry if theology and practice warrant it.,ordination rite,Do not create merely to imitate established religions or to manufacture tax status.
Leadership & ministry,Clergy,EXTERNAL / LEGAL UMBRELLA,"General external term for recognized religious ministers where law, institutions, or public communication require it.",clergy housing rules; clergy credentialing,Not necessarily the preferred internal self-description.
Community & governance,Board of Directors,ADOPT - LEGAL,The governing board of the nonprofit corporation under civil law.,Board resolution; Board Chair,"Legally distinct from the Assembly, Companions, ministers, and any religious Council."
Community & governance,Council of the Assembly,CANDIDATE,"A possible future religious deliberative body for doctrine, practice, or communal discernment.",refer a question to the Council,Must not be allowed to swallow the Board’s fiduciary duties or participant rights.
Community & governance,Council of Houses,CANDIDATE,A possible representative body linking multiple Houses of Prayer.,annual Council of Houses,Only meaningful after multiple local Houses actually exist.
Community & governance,Regional Assembly,PROVISIONAL,A gathering or coordinating body of multiple Houses of Prayer within a geographic region.,Appalachian Regional Assembly,Avoid creating jurisdictional hierarchy before it is operationally needed.
Community & governance,Companion Commitment,CANDIDATE,A possible voluntary statement by which an adult publicly identifies as a Companion.,make the Companion Commitment,Should affirm rights of conscience and exit; never an irrevocable vow.
Place & institution,Institute for Sacred Inquiry,CANDIDATE,"A possible name for the research, historical, linguistic, and comparative-religion function of the wider project.",research conducted by the Institute,Useful because “inquiry” fits the scholarly arm better than the entire religion.
Place & institution,House of Study,CANDIDATE,A functional educational space or program devoted to serious study.,House of Study program,"English phrase is usable, but it strongly echoes Jewish beit midrash; adopt only intentionally."
Place & institution,Retreat House,FUNCTIONAL,"A place used for voluntary retreats, prayer, study, and rest.",Assembly Retreat House,"Residential safeguarding, access, and exit protections apply."
Reserved / avoid as offices,Prophet,NOT AN OFFICE,A descriptive historical/theological category for a person claimed to speak through divine revelation.,study of prophets; a person claims prophetic experience,No person becomes institutionally unquestionable by claiming the title.
Reserved / avoid as offices,Master,AVOID AS TITLE,A title implying personal spiritual domination or superior status.,-,Incompatible with the lateral Companion model.
Reserved / avoid as offices,Guru / Shaykh / Rabbi / Imam / Priest,TRADITION-SPECIFIC,Established titles belonging to particular living traditions and role systems.,use when referring to those traditions,Do not borrow merely for exotic effect. The Assembly should develop honest English offices from its own functions.
Reserved / avoid as labels,Apostate / heretic / unbeliever,AVOID AS ADMINISTRATIVE LABEL,Traditional polemical or theological categories.,-,"Never use as organizational categories for former participants, critics, or people who disagree."
Reserved / avoid as labels,Follower of the Founder,AVOID,Founder-centered identity formula.,-,"The movement is organized around the Way, not personal allegiance to its founder."
