claim_id,domain,claim,claim_class,confidence,status_note,review_trigger
RC-013,TQ-003,The Gospels are literary and theological texts as well as historical sources and must be read accordingly.,Mixed - see dossier,Established,Their theological aims neither erase nor automatically validate historical content.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-014,TQ-003,Jesus preached about God/kingdom and ethical/religious transformation.,Mixed - see dossier,Well-Supported,Exact wording and scope of individual sayings vary in confidence.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-015,TQ-003,Jesus explicitly claimed ontological identity with God in the later creedal sense.,Mixed - see dossier,Open Question - Historical/Theological,The sources and interpretation are contested; historical method cannot simply assume later creeds.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-016,TQ-003,Followers very early proclaimed that Jesus had been raised and continued to encounter him as alive.,Mixed - see dossier,Established as claim-history,What caused those experiences and whether resurrection occurred metaphysically remain separate questions.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-017,TQ-003,Jesus' resurrection as a divine transformation of the dead.,Mixed - see dossier,Open Question - Metaphysical/Theological,Historical evidence can establish belief/claims more readily than supernatural causation.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-018,TQ-004,Muhammad was a seventh-century Arabian religious and political leader whose movement produced the early Muslim community.,Mixed - see dossier,Established,Basic historical conclusion.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-019,TQ-004,The Qur'an is the earliest principal textual witness to Muhammad's proclamation.,Mixed - see dossier,Established,It remains incomplete as biography.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-020,TQ-004,Later sira and hadith should not be given the same source weight as the Qur'an merely because tradition groups them together.,Mixed - see dossier,Established - Methodological,Each report requires provenance and transmission analysis.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-021,TQ-004,"The Qur'an presents Muhammad as messenger and ""seal of the prophets.""",Mixed - see dossier,Established - Textual,The meaning is central to Islamic theology; textual description is distinct from Assembly endorsement.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-022,TQ-004,Muhammad was divinely commissioned and the Qur'an is verbatim divine revelation.,Mixed - see dossier,Open Question - Theological,History can assess provenance and proclamation; divine origin requires additional inference.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-023,TQ-004,Muhammad is necessarily the final possible bearer of revelation for all humanity.,Mixed - see dossier,Open Question for the Way,The Qur'anic claim and Islamic interpretation are studied seriously but not adopted automatically.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-024,TQ-005,A historical teacher Gautama stands behind the Buddhist tradition.,Mixed - see dossier,Established,Exact dates remain debated; roughly fifth century BCE is common in current scholarship.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-025,TQ-005,"The early liberation project centers on dukkha/suffering, its causal conditions, cessation, and a disciplined path.",Mixed - see dossier,Established,Attested across early sources.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-026,TQ-005,Non-self is central to early Buddhist analysis of persons.,Mixed - see dossier,Established,Interpretation of precisely what is denied remains philosophically debated.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-027,TQ-005,Early Buddhism includes karma/rebirth language as part of its inherited and transformed framework.,Mixed - see dossier,Established - Textual,Whether rebirth is metaphysically true remains open for the Way.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-028,TQ-005,The Buddha achieved a literally final liberation ending rebirth.,Mixed - see dossier,Open Question - Metaphysical,The historical fact of a liberation claim is distinct from metaphysical verification.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-029,TQ-005,Later concepts such as Madhyamaka emptiness or Buddha-nature can simply be attributed to the historical Buddha.,Mixed - see dossier,Rejected as historically careless,Later developments require their own provenance.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-030,TQ-006,A text calling itself sacred does not by itself establish its own canon status.,Mixed - see dossier,Established,Canon is also a community/institutional reception category.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-031,TQ-006,Jewish and Christian canon formation was historically gradual rather than a single universally recognized list from the beginning.,Mixed - see dossier,Established,Specific dates/boundaries require tradition-sensitive nuance.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-032,TQ-006,Second Temple Jewish evidence can reflect graded levels of authoritative literature.,Mixed - see dossier,Well-Supported,Qumran research is particularly important.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-033,TQ-006,Multiple Buddhist canons and parallel early texts complicate any claim that one bounded book-list uniquely represents the historical Buddha.,Mixed - see dossier,Established,Comparative textual work is essential.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-034,TQ-006,The Way presently needs a closed canon.,Mixed - see dossier,Rejected - Premature,Closing the source field now would outrun the research and create avoidable authority risks.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-035,TQ-007,"Humans are vulnerable to cognitive bias, self-deception, social influence, harmful desire, and moral failure.",Mixed - see dossier,Established,Supported by ordinary experience and multiple religious/psychological traditions; exact mechanisms vary.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-036,TQ-007,"Humans are also capable of compassion, learning, conscience, repair, self-regulation, and transformation.",Mixed - see dossier,Established,A one-sided doctrine of depravity is not warranted by the comparative evidence alone.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-037,TQ-007,"Human dignity should not depend on religious status, purity, caste, office, wealth, sex, or loyalty to the institution.",Mixed - see dossier,Established - Ethical/Institutional,Constitutional commitment of the Way.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-038,TQ-007,Humans possess an immaterial immortal soul of a specific type.,Mixed - see dossier,Open Question - Metaphysical,Traditions and philosophical theories conflict.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-039,TQ-007,No enduring self exists in any meaningful sense.,Mixed - see dossier,Open Question - Metaphysical,Early Buddhist non-self analysis is a major challenge to substantial-self theories but requires careful philosophical engagement.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-040,TQ-007,Inherited guilt/original sin is the correct universal diagnosis.,Mixed - see dossier,Open Question,"Distinguish inherited conditions, social transmission, biological propensity, and culpability.",New primary evidence; stronger alternative explanation; major scholarly revision
