document_id,title,family,location,lifecycle,authority,canonicality,adoption_status,production_state,review_priority,blocking_issue,next_action,coverage
FOUND-009,Financial & Stewardship Constitution,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-010,Safeguarding & Ethical Conduct Framework,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-011,Teaching / Formation Curriculum Architecture,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-012,Expansion & Community-Planting System,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-013,Succession & Institutional Continuity Constitution,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-014,Legal / Organizational Architecture,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-015,Founder-to-International-Network Implementation Roadmap,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
REL-CON-001,Foundational Religious Constitution,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/REL-CON-001/0.1.0/REL-CON-001-Foundational-Religious-Constitution.md,current-canonical,religious root constitution,canonical draft,not adopted,RECONCILING,P0,Must be reconciled with FOUND-001–003 and release_v1_0,Resolve in constitutional integration and promote only after adoption,individual
ECC-CON-001,Ecclesiastical Governance Constitution / CH-006,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/ECC-CON-001/0.1.0/CH-006-Ecclesiastical-Governance-ECC-CON-001.docx,current-canonical,ecclesiastical constitution,canonical draft,not adopted,RECONCILING,P0,Must reconcile authority allocation with REL-CON-001 and BYL-001,Resolve in constitutional integration and promote only after adoption,individual
BYL-001,Civil Bylaws / CH-005,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/BYL-001/0.1.0/CH-005-Civil-Bylaws-BYL-001.docx,current-canonical,civil bylaws,canonical draft,not adopted,RECONCILING,P0,Entity constants unresolved; must reconcile civil/ecclesiastical boundary,Resolve in constitutional integration and promote only after adoption,individual
ACCOUNT-001,Accountability Constitutional Instrument,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/ACCOUNT-001/0.1.0/,current-canonical,constitutional accountability,canonical draft,not adopted,RECONCILING,P1,Folder exists but no substantive file located in repository tree,Resolve in constitutional integration and promote only after adoption,individual
AFF-001,Affiliation and Disaffiliation Code,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/AFF-001/0.1.0/AFF-001-Affiliation-and-Disaffiliation-Code.docx,current-canonical,constitutional code,canonical draft,not adopted,RECONCILING,P2,Depends on local-community and authority baseline,Resolve in constitutional integration and promote only after adoption,individual
CONST-GUARD-001,Constitutional Guardians Instrument,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/CONST-GUARD-001/0.1.0/,current-canonical,constitutional governance,canonical draft,not adopted,RECONCILING,P1,Folder exists but no substantive file located in repository tree,Resolve in constitutional integration and promote only after adoption,individual
DISC-001,Discipline Constitutional Instrument,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/DISC-001/0.1.0/,current-canonical,constitutional discipline,canonical draft,not adopted,RECONCILING,P2,Folder exists but no substantive file located in repository tree,Resolve in constitutional integration and promote only after adoption,individual
DOC-001,Doctrine and Authoritative Teaching Code,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/DOC-001/0.1.0/DOC-001-Doctrine-and-Authoritative-Teaching-Code.docx,current-canonical,doctrine authority,canonical draft,not adopted,RECONCILING,P1,"Must preserve distinction among research, interpretation, teaching and binding doctrine",Resolve in constitutional integration and promote only after adoption,individual
ECC-COUNCIL-001,Ecclesiastical Council Instrument,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/ECC-COUNCIL-001/0.1.0/,current-canonical,ecclesiastical governance,canonical draft,not adopted,RECONCILING,P1,Folder exists but no substantive file located in repository tree,Resolve in constitutional integration and promote only after adoption,individual
FIN-001,Financial Governance Framework,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/FIN-001/0.1.0/FIN-001-Financial-Governance-Framework.md,current-canonical,financial constitution,canonical draft,not adopted,RECONCILING,P1,Must reconcile with CH-039–044 and BYL-001,Resolve in constitutional integration and promote only after adoption,individual
FOUND-TRANS-001,Founding Transition Schedule,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/FOUND-TRANS-001/0.1.0/FOUND-TRANS-001-Founding-Transition-Schedule.docx,current-canonical,founder-transition,canonical draft,not adopted,RECONCILING,P1,"Must reconcile founder-era authority, succession and anti-capture design",Resolve in constitutional integration and promote only after adoption,individual
GOV-PROC-001,Governance Procedure Code,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/GOV-PROC-001/0.1.0/GOV-PROC-001-Governance-Procedure-Code.docx,current-canonical,governance procedure,canonical draft,not adopted,RECONCILING,P1,Dependent on authority map,Resolve in constitutional integration and promote only after adoption,individual
JUR-001,Civil-Ecclesiastical Jurisdiction Code,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/JUR-001/0.1.0/JUR-001-Civil-Ecclesiastical-Jurisdiction-Code.docx,current-canonical,jurisdiction,canonical draft,not adopted,RECONCILING,P0,Critical conflict-resolution instrument for BYL/ECC/REL constitutional layers,Resolve in constitutional integration and promote only after adoption,individual
LOCAL-001,Local Community Constitutional Framework,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/LOCAL-001/0.1.0/LOCAL-001-Local-Community-Constitutional-Framework.docx,current-canonical,local governance,canonical draft,not adopted,RECONCILING,P2,Must reconcile with FOUND-007 and House of Prayer terminology,Resolve in constitutional integration and promote only after adoption,individual
MEM-001,Religious Membership Framework,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/MEM-001/0.1.0/MEM-001-Religious-Membership-Framework.md,current-canonical,membership constitution,canonical draft,not adopted,RECONCILING,P1,"Must reconcile Covenant Membership, Companion terminology and non-statutory corporate membership",Resolve in constitutional integration and promote only after adoption,individual
MIN-001,Ministry and Credentialing Framework,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/MIN-001/0.1.0/MIN-001-Ministry-and-Credentialing-Framework.md,current-canonical,ministry constitution,canonical draft,not adopted,RECONCILING,P2,Depends on office terminology and doctrine/authority baseline,Resolve in constitutional integration and promote only after adoption,individual
SAFE-001,Safeguarding and Accountability Framework,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/SAFE-001/0.1.0/SAFE-001-Safeguarding-and-Accountability-Framework.docx,current-canonical,safeguarding constitution,canonical draft,not adopted,RECONCILING,P1,Must reconcile with integrity v0.4 and accountability architecture,Resolve in constitutional integration and promote only after adoption,individual
SUCC-001,Leadership Succession Code,constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/SUCC-001/0.1.0/SUCC-001-Leadership-Succession-Code.docx,current-canonical,succession constitution,canonical draft,not adopted,RECONCILING,P1,"Must reconcile founder transition, PSL succession and institutional continuity",Resolve in constitutional integration and promote only after adoption,individual
BOARD-ACT-001,Initial Board Organizational Actions Packet,formation,04_INSTITUTION_AND_GOVERNANCE/institution/01-formation/organizational-actions/BOARD-ACT-001-Initial-Board-Organizational-Actions-Packet.docx,current-canonical,formation action,canonical draft,not executed,REVIEW_READY,P1,"Requires incorporated entity, verified directors/officers and actual action",Hold until legal formation facts are verified,individual
EC-FOUND-001,Founding Ecclesiastical Adoption Instrument,governance,04_INSTITUTION_AND_GOVERNANCE/institution/04-governance/ecclesiastical-council/founding/EC-FOUND-001-Founding-Ecclesiastical-Adoption-Instrument.docx,current-canonical,ecclesiastical adoption,canonical draft,not executed,REVIEW_READY,P1,Competent ecclesiastical adopting authority and constants unresolved,Finalize after constitutional authority map,individual
CMA-001,Covenant Member Assembly Charter,governance,04_INSTITUTION_AND_GOVERNANCE/institution/04-governance/cma/CMA-001-Covenant-Member-Assembly-Charter.md,current-canonical,governance charter,canonical draft,not adopted,REVIEW_READY,P2,Depends on membership terminology and reserved powers,Review after MEM-001 and ECC-CON-001,individual
CH-001,Charter / Articles of Incorporation,formation-constitutional,No standalone current-canonical file located; content exists in release_v1_2 / Day One execution materials,execution-reference,governing/formation,no standalone canonical file located,not adopted / not filed,DRAFT_FRAMEWORK,P0,Requires verified legal entity facts and/or real-world issuance; current repository does not evidence completion,Resolve in Wave 0–2,individual
CH-002,§501(c)(3) Purpose Provision,formation-constitutional,No standalone current-canonical file located; content exists in release_v1_2 / Day One execution materials,execution-reference,governing/formation,no standalone canonical file located,not adopted / not filed,DRAFT_FRAMEWORK,P0,Requires verified legal entity facts and/or real-world issuance; current repository does not evidence completion,Resolve in Wave 0–2,individual
CH-003,Dissolution / Asset-Dedication Provision,formation-constitutional,No standalone current-canonical file located; content exists in release_v1_2 / Day One execution materials,execution-reference,governing/formation,no standalone canonical file located,not adopted / not filed,DRAFT_FRAMEWORK,P0,Requires verified legal entity facts and/or real-world issuance; current repository does not evidence completion,Resolve in Wave 0–2,individual
CH-004,EIN Confirmation,formation-constitutional,No standalone current-canonical file located; content exists in release_v1_2 / Day One execution materials,execution-reference,governing/formation,no standalone canonical file located,not adopted / not filed,DRAFT_FRAMEWORK,P0,Requires verified legal entity facts and/or real-world issuance; current repository does not evidence completion,Resolve in Wave 0–2,individual
CH-005,Civil Bylaws,formation-constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/BYL-001/0.1.0/CH-005-Civil-Bylaws-BYL-001.docx,current-canonical,governing/formation,canonical draft,not adopted / not filed,RECONCILING,P0,Same instrument as BYL-001; entity constants and civil/ecclesiastical crosswalk unresolved,Resolve in Wave 0–2,individual
CH-006,Ecclesiastical Governance Code,formation-constitutional,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional/ECC-CON-001/0.1.0/CH-006-Ecclesiastical-Governance-ECC-CON-001.docx,current-canonical,governing/formation,canonical draft,not adopted / not filed,RECONCILING,P0,Same instrument as ECC-CON-001; constitutional hierarchy and civil/ecclesiastical crosswalk unresolved,Resolve in Wave 0–2,individual
CH-007,Foundational Statement of Beliefs,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life/beliefs/CH-007-Foundational-Statement-of-Beliefs.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-008,Formal Doctrine,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life/doctrine/CH-008-Formal-Doctrine.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-009,Code of Religious Discipline,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/discipline/CH-009-Code-of-Religious-Discipline.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-010,Order of Worship and Liturgical Manual,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life/worship/CH-010-Order-of-Worship-and-Liturgical-Manual.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-011,Religious Rites and Ordinances Manual,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life/rites/CH-011-Religious-Rites-and-Ordinances-Manual.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-012,Religious History,religious-identity,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life/history/CH-012-Religious-History.docx,current-canonical,religious-life,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-013,Membership Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-013-Membership-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-014,Covenant Membership Covenant,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-014-Covenant-Membership-Covenant.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-015,Membership Register Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-015-Membership-Register-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-016,Attendance Register Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-016-Attendance-Register-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-017,Congregational Meeting Records Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-017-Congregational-Meeting-Records-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-018,Regular Worship Schedule,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-018-Regular-Worship-Schedule.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-019,Worship Bulletin and Program Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-019-Worship-Bulletin-and-Program-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-020,Sermon and Teaching Archive Standard,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-020-Sermon-and-Teaching-Archive-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-021,Religious Calendar Framework,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-021-Religious-Calendar-Framework.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-022,Recurring Worship Location Use Agreement,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-022-Recurring-Worship-Location-Use-Agreement.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-023,Worship Site Record,congregation,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/membership/CH-023-Worship-Site-Record.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-024,Ministerial Offices Standard,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-024-Ministerial-Offices-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-025,Ordination and Credentialing Standard,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-025-Ordination-and-Credentialing-Standard.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-026,Ministerial Course of Study,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-026-Ministerial-Course-of-Study.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-027,Ordination Procedure,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-027-Ordination-Procedure.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-028,Ministerial Credentials,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-028-Ministerial-Credentials.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-029,Ministerial Personnel Records,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-029-Ministerial-Personnel-Records.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-030,Religious Literature Corpus,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-030-Religious-Literature-Corpus.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-031,Adult Religious Education Program,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-031-Adult-Religious-Education-Program.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-032,Youth Religious Education Program,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-032-Youth-Religious-Education-Program.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
CH-033,Ministerial Formation Program,ministry-education,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-033-Ministerial-Formation-Program.docx,current-canonical,operational religious,canonical draft,not adopted / not filed,RECONCILING,P2,Pre-populated draft; not adopted merely by repository placement,Finalize in dependency order after higher authorities stabilize,individual
