domain,jurisdiction,controlling_instrument,primary_actor,secondary_or_concurrence,subordinate_instruments,authority_boundary_or_prohibition,reconciliation_status,open_issue,source_basis
Covenant Member Assembly reserved powers,ecclesiastical participatory,REL-CON-001 > ECC-CON-001 > MEM-001 > CMA-001,CMA within expressly granted reserved powers,EC/CCG/EAC/Board involvement where instrument requires,CMA procedures and decision records,CMA cannot seize ordinary EC jurisdiction or expand its own reserved powers by ordinary vote,RECONCILING,Reserved-power list and thresholds must be reconciled to ECC-CON-001,"CMA-001 Arts. XCIII, CXXI; MEM-001 §3.4"
Statutory corporate membership,civil,Filed Charter + applicable corporate law,Corporation/Board as law and charter provide,None by ecclesiastical membership alone,Civil Bylaws,Covenant Membership/CMA rights do not create statutory corporate membership,UNRESOLVED_REAL_WORLD,"Draft design is no statutory corporate members, but no filed charter is evidenced; MEM-001 currently states this too categorically",MEM-001 Art. III; org_constants.yaml; PR-CTRL-001
"Ministry credentials, commissioning, ordination status",ecclesiastical,REL-CON-001 > ECC-CON-001 > MIN-001,Ecclesiastical Council has ultimate ecclesiastical authority over ministry credentials,Credentialing body; EAC/safeguarding processes as applicable,CH-024–029; MIN-OPS-001,PSL does not possess unilateral final authority over all substantial credentials; credential does not create civil agency,RECONCILING,Final ordination theology and office title remain unsettled,"MIN-001 §§1.3, 2.11, 31.1"
"Employment, compensation and civil agency of ministers",civil/concurrent,Civil Bylaws + Board authority + finance/employment policies; ecclesiastical credential only as religious qualification,Civil Board / authorized officers,EC input where religious qualification is material,CH-039; FIN-001; MIN-001,"Religious credential alone does not create employment, salary, benefits, contracting power or spending authority",CONTROLLED,Specific compensation and employment procedures require later review,MIN-001 §§2.9–2.11; FIN-001
Principal ecclesiastical leadership office (PSL),ecclesiastical,REL-CON-001 > ECC-CON-001 > succession/office instruments,PSL only within powers expressly granted,EC/CMA/CCG/EAC as checks where specified,SUCC-001; FOUND-TRANS-001; governance procedure,"PSL cannot stand above constitution, waive CMA reserved powers, or acquire civil authority by title",RECONCILING,"Final title, qualifications, tenure, selection and succession were reserved by REL-CON-001",REL-CON-001 Art. XXXIII; CMA-001 Art. XCIV
Founder status and powers,historical/constitutional,Any power must arise from a valid current governing instrument; founder status itself is not an authority source,Founder only in separately granted roles,All ordinary checks applicable to the role actually held,FOUND-TRANS-001; any explicit founder provisions in REL/ECC/BYL,"Founder status alone creates no ownership, infallibility, ministry credential, treasury authority, electorate control or succession right",HIGH_PRIORITY_CONFLICT,Earlier FOUND/founder-control experiments conflict with release_v1_0 and later anti-capture architecture; PR-XWALK must resolve explicitly,REL-CON-001 Preamble/Art. XXXIII; release_v1_0 decision register; MEM-001 §93.4; FIN-001
Ecclesiastical Council ordinary governance,ecclesiastical,REL-CON-001 > ECC-CON-001,Ecclesiastical Council,CMA concurrence where reserved; CCG validity review; EAC independent accountability jurisdiction,GOV-PROC-001; institutional charters; subject codes,EC cannot waive CMA concurrence where constitutionally required or override REL-CON-001,RECONCILING,ECC-COUNCIL-001 folder has no substantive instrument visible; authority is mainly carried in ECC-CON/CMA/MEM/MIN drafts,CMA-001 §93.1–93.3; PR-CTRL-001
Constitutional review / jurisdictional validity,ecclesiastical constitutional,REL-CON-001 + ECC-CON-001 + CCG instrument once completed,Council of Constitutional Guardians (CCG),Other bodies supply records/arguments; civil legal issues remain for lawful civil processes,CONST-GUARD-001; JUR-001; GOV-PROC-001,CCG should not become an appellate re-vote body for valid political outcomes,GAP,CONST-GUARD-001 folder lacks substantive instrument in canonical tree,CMA-001 Art. XCV; PR-CTRL-001
Safeguarding and protection of vulnerable persons,cross-domain,Applicable law + REL-CON-001/ECC-CON-001 + SAFE-001 + adopted civil policies,Independent safeguarding/accountability processes within defined jurisdiction,"Board, EAC, EC, external authorities/professionals as applicable",SAFE-OPS-001; CH-038/048 and operational procedures,"No religious office, doctrine, confidentiality claim or ministry credential may exempt a person from safeguarding or external legal duties",RECONCILING,SAFE-001 must be reconciled with integrity v0.4 and EAC/accountability gaps,MIN-001 §1.3; integrity framework; PR-CTRL-001
Serious ecclesiastical misconduct/accountability,ecclesiastical/cross-domain,REL-CON-001 > ECC-CON-001 > ACCOUNT-001/EAC provisions + SAFE/DISC instruments,Ecclesiastical Accountability Council or other designated independent body,"Board/external authorities where civil, employment, safety or legal issues are implicated",DISC-001; SAFE-001; DISC-PROC-001,"Popular sentiment, founder status or office should not dictate investigative findings",GAP,ACCOUNT-001 folder lacks substantive instrument; EAC rules are embedded elsewhere and need consolidation,CMA-001 Art. XCVI; PR-CTRL-001
Religious discipline,ecclesiastical,REL-CON-001 > ECC-CON-001 > DISC-001 / CH-009,Designated disciplinary body under final code,Appeal/CCG/EAC/safeguarding pathways as applicable,DISC-PROC-001; forms,"Discipline cannot be used to bypass safeguarding, retaliate, purge an electorate, or create civil penalties beyond lawful authority",GAP,DISC-001 folder lacks substantive instrument; CH-009 exists operationally and needs authority crosswalk,MEM-001 failure modes; PR-CTRL-001
Routine finance and budgeting,civil with religious-purpose input,Civil Bylaws + FIN-001 + adopted finance policies,Civil Board / delegated financial officers,Ecclesiastical input on mission priorities; concurrence only where expressly required,CH-040–043; FIN-POL-001,Financial expertise/treasury control does not confer doctrinal authority; religious office does not confer spending authority,RECONCILING,Need exact threshold/concurrence table from FIN/BYL/JUR,FIN-001 Preamble and Arts. IV–VII
Sacred / principal religious property disposition,concurrent,Charter/BYL civil authority + REL/ECC religious authority + FIN-001/JUR-001 + any CMA reserved-power rule,Civil Board for title/fiduciary act,EC approval + CMA concurrence where designated + donor/trust restrictions,LOCAL-001; property policies,Neither civil nor ecclesiastical side may unilaterally substitute its authority for the other where concurrent jurisdiction is expressly triggered,CONTROLLED_DRAFT,Final list of designated sacred/principal property and thresholds remains future factual/adoption work,FIN-001 Arts. LXXXVIII–XCI; CMA-001 Art. LXIV
Local House of Prayer recognition/governance,ecclesiastical with civil interface,REL-CON-001 > ECC-CON-001 > LOCAL-001,Designated ecclesiastical/local governance authorities,Board involvement for property/contracts/employment; CMA/EC roles as defined,AFF-001; LOCAL-AFF-OPS-001,Recognition as a House of Prayer does not itself create a separate legal entity or property ownership,RECONCILING,Must reconcile LOCAL-001 with FOUND-007 and terminology register,PR-TERM-001; LOCAL-001 listing; foundational source architecture
Affiliation/disaffiliation of local communities,ecclesiastical/concurrent as assets require,REL-CON-001 > ECC-CON-001 > AFF-001/LOCAL-001,EC/other designated ecclesiastical body,CMA or Board concurrence where reserved/civil effects occur,LOCAL-AFF-OPS-001,Affiliation status cannot transfer corporate property or civil obligations merely by ecclesiastical declaration,RECONCILING,Need exact reserved powers and property consequences mapped,AFF-001; CMA-001 reserved-power architecture
Worship and liturgy,ecclesiastical religious-life,REL-CON-001 > ECC-CON-001 > adopted doctrine/principles > CH-010,Competent religious authority / authorized ministers within scope,CMA consultation/concurrence only if constitutionally required,CH-018–020; local worship procedures,Board financial/facility authority does not itself determine doctrine or liturgy,RECONCILING,CH-010 must align to released practice baseline and later rite decisions,REL-CON hierarchy; FIN-001 anti-absorption principle
Rites and ordinances,ecclesiastical religious-life,REL-CON-001 > ECC-CON-001 > adopted doctrine/principles > CH-011,Competent religious authority,Authorized ministers; safeguarding/local procedures,Rite forms; records,Pilot or working practice does not become mandatory sacrament merely by repetition,RECONCILING,Rite of Washing and Common Table baselines need formal integration into CH-011,PR-TERM-001; foundational/research practice sources
Religious education and formation,ecclesiastical/operational,REL-CON-001 > ECC-CON-001 > doctrine/teaching rules > education standards,Authorized education/ministry authorities,Safeguarding controls; Board employment/finance authority where applicable,"CH-026, CH-030–033; curriculum releases",Curriculum cannot silently establish binding doctrine or bypass safeguarding,RECONCILING,Need crosswalk release_v1_5 curriculum to institutional education documents,DOC/teaching distinction; pilot releases
Institutional records and evidence,administrative/civil/ecclesiastical by record type,Controlling parent instrument + records/privacy policy + applicable law,Custodian designated for each record series,Board/EC/EAC/CCG access only within defined roles,"CH-015–017, 020, 029, 043, 048; record_series.yaml",Repository presence is not evidence that an event occurred; templates are not executed records,CONTROLLED,Need later privacy/access matrix,MIGRATION-NOTE.md; repository_manifest.json
Pilot operations and launch releases,pre-incorporation operational,"release_v1_4–v1_6 within their stated pilot scope; subordinate to safety, conscience and current higher baselines",Pilot organizers/facilitators,Independent safeguarding/concern route and venue/site controls,"Pilot manuals, curriculum, logistics packets","Pilot materials do not create corporation, House of Prayer, statutory membership, tax status or adopted institutional authority",CONTROLLED,These releases should remain outside constitutional authority ladder,release_v1_4–v1_6 README/current-state controls
Release v1.0 Constitution of the Way,predecessor religious baseline,release_v1_0 as immutable founding synthesis/source baseline,No current institutional actor gains new power from release status alone,Future lawful religious/corporate adoption could recognize/absorb its content,Teaching & Practice Baseline; Companion Handbook,Release status does not supersede later canonical drafts by itself and does not replace civil charter/bylaws,CROSSWALK_REQUIRED,"Need explicit rule whether REL-CON-001 supersedes, restates, incorporates or partially preserves Constitution of the Way v1.0",release_v1_0 README; v1.1 future-board resolution
FOUND-001–015 predecessor architecture,pre-integration source,No current operative authority; integration source only,None by document existence,PR-XWALK will map surviving provisions to current instruments,Historical/preintegration FOUND corpus,Predecessor design cannot override current canonical draft architecture or create adoption,CROSSWALK_REQUIRED,Need line-by-line mapping beginning with FOUND-001–003,PR-CTRL-001 and production finalization plan
Amendment of subordinate membership framework,ecclesiastical constitutional,REL-CON-001 > ECC-CON-001 > MEM-001 amendment clause,EC under MEM-001 procedure,CMA concurrence + CCG certification for protected membership provisions,Membership procedures,MEM-001 cannot amend rights or requirements established directly by REL-CON/ECC-CON,CONTROLLED_DRAFT,Thresholds depend on final ECC/CCG structure,MEM-001 Art. XCI
Amendment of CMA Charter/reserved powers,ecclesiastical constitutional,REL-CON-001 > ECC-CON-001 > MEM-001 > CMA-001,EC/CMA under CMA amendment clause,CCG certification for protected provisions,CMA procedures,CMA cannot self-expand reserved powers by ordinary vote or override higher instruments,CONTROLLED_DRAFT,Must verify final thresholds against ECC-CON-001,CMA-001 Art. CXXI
Amendment of REL-CON-001 / foundational constitutional identity,ecclesiastical foundational,REL-CON-001's own amendment/refounding procedure once adopted,Bodies specified by final adopted constitutional procedure,Expected heightened concurrence/review for entrenched/foundational changes,ECC-CON-001/GOV-PROC only as authorized to implement procedure,"No subordinate code, policy, officer or ordinary majority may amend the supreme constitution",UNRESOLVED,REL-CON-001 draft reserves final entrenched list and some detailed amendment mechanics for later derivation,REL-CON-001 Arts. XXX–XXXVI
Civil–ecclesiastical conflict classification,cross-domain,JUR-001 should operationalize REL-CON-001 §1.2 and BYL/charter boundaries,CCG/EC for ecclesiastical classification; Board/counsel for civil corporate action as validly assigned,Concurrent processes when both domains are genuinely implicated,"FIN-001, GOV-PROC-001 and subject instruments",A body may not acquire the other lane's powers simply by labeling a dispute spiritual or fiduciary,HIGH_PRIORITY_RECONCILING,JUR-001 exists only as DOCX in canonical tree and needs direct crosswalk/review against REL/ECC/BYL,REL-CON-001 §1.2/§31.2; FIN-001 concurrent-jurisdiction principle
Emergency action,domain-specific,Highest applicable governing instrument plus emergency provisions in ECC/BYL/GOV-PROC/subject code,Actor expressly granted emergency authority,Required ratification/review after emergency,Emergency policies/procedures,Emergency cannot permanently rewrite constitutional allocation or become indefinite normal governance,UNRESOLVED,Exact emergency powers/return-to-normal rules need instrument-by-instrument review,REL-CON-001 Art. XXXIV governance test
Refounding / existential restructuring,ecclesiastical foundational + civil effects,REL-CON-001/ECC-CON-001 extraordinary refounding provisions + civil charter/bylaws/law for legal acts,Actors specified by final refounding procedure,Likely EC/CMA/CCG + Board for civil implementation,"Succession, affiliation, dissolution instruments",No ordinary officeholder or faction may unilaterally refound both religious and civil institutions,UNRESOLVED,REL-CON-001 reserves extraordinary Refounding procedure for further development,REL-CON-001 Art. XXXIII
