domain,term,status,definition,preferred_usage,avoid_or_caution,crosswalk,decision_required
Governance,Rule-Governed Conciliar Polity,TECHNICAL_CANONICAL,"Name of the current draft governance model in which authority is rule-bound, distributed by competence, and exercised through defined councils and offices.",Rule-Governed Conciliar Polity,Not a public identity name and not evidence of adoption by itself.,Governance-model descriptor in REL-CON-001/ECC-CON-001 architecture.,No
Governance,Founder,HISTORICAL_ROLE,"The person who originated the present institutional project; a historical relation, not by itself a religious office.",Founder; founding period; founder-era,"Founder status alone does not create doctrinal infallibility, ministry credential, ownership, disciplinary immunity, or legal authority not granted elsewhere.",Current native lexicon and constitutional anti-capture usage.,"Yes — exact founder-era reserved powers, if any, belong in PR-AUTH not in the word itself"
Governance,Presiding Spiritual Leader,PROVISIONAL_OFFICE_TITLE,Current draft title for the principal ecclesiastical leadership office in later governance instruments.,Presiding Spiritual Leader; PSL after definition,REL-CON-001 itself flags the final title as unresolved; do not treat the title as permanently settled.,Later governance term; not identical with Founder.,Yes — final office title
Governance,PSL,CONTROLLED_ABBREVIATION,Abbreviation for Presiding Spiritual Leader after definition.,PSL,Do not use as a public title without first spelling it out.,Abbreviation only.,No
Governance,Ecclesiastical Council,TECHNICAL_CANONICAL,Current draft collective body for major ecclesiastical governance and discernment under ECC-CON-001.,Ecclesiastical Council; EC,Do not imply authority over civil matters outside its defined jurisdiction.,Current later governance body; likely successor to earlier generic Council of the Assembly concept.,No
Governance,EC,CONTROLLED_ABBREVIATION,Abbreviation for Ecclesiastical Council after definition.,EC,Avoid unexplained abbreviation in public documents.,Abbreviation only.,No
Governance,Council of Constitutional Guardians,TECHNICAL_CANONICAL,Current draft body for constitutional/jurisdictional review.,Council of Constitutional Guardians; CCG,Do not describe as a civil court or holder of powers not granted in governing instruments.,Current later governance body.,No
Governance,CCG,CONTROLLED_ABBREVIATION,Abbreviation for Council of Constitutional Guardians after definition.,CCG,Avoid unexplained abbreviation in public documents.,Abbreviation only.,No
Governance,Ecclesiastical Accountability Council,TECHNICAL_CANONICAL,Current draft independent ecclesiastical body for serious misconduct/accountability functions.,Ecclesiastical Accountability Council; EAC,"Does not replace civil authorities, mandated reporting, law enforcement, or independent professional processes where applicable.",Current later governance body.,No
Governance,EAC,CONTROLLED_ABBREVIATION,Abbreviation for Ecclesiastical Accountability Council after definition.,EAC,Avoid unexplained abbreviation in public documents.,Abbreviation only.,No
Governance,Council of the Assembly,LEGACY_CANDIDATE,Earlier candidate term for a religious deliberative body.,Use only when describing historical design evolution,Do not use as a second competing name for the Ecclesiastical Council unless PR-XWALK explicitly preserves a separate body.,Earlier vocabulary likely absorbed/replaced by later council architecture.,Yes — PR-XWALK
Governance,Council of Houses,FUTURE_CANDIDATE,Possible representative body connecting multiple Houses of Prayer after multiple Houses actually exist.,Council of Houses if later constituted,Do not imply it exists now.,Future federation/local-community concept.,Yes — only when community scale warrants
Governance,Regional Assembly,FUTURE_PROVISIONAL,Possible geographic coordination layer among multiple Houses of Prayer.,"Appalachian Regional Assembly, if later constituted",Do not create jurisdictional hierarchy merely through terminology.,Future scaling term.,Yes — later local/federation architecture
Ministry,Minister,PROVISIONAL_ROLE,"A person formally entrusted with defined religious functions such as prayer, pastoral care, worship, teaching, rites, or service.",commissioned Minister; Minister of [function],"Should denote accountable function, not sacred caste or unlimited spiritual authority.",MIN-001 role vocabulary.,Yes — final credential/ordination theology
Ministry,Teacher,CANONICAL_DRAFTING,A person recognized or assigned to teach within demonstrated competence.,Teacher of history; Teacher in a House of Prayer,"Teaching authority remains bounded by scope, sources, review, and correction.",Native role vocabulary.,No
Ministry,Steward,CANONICAL_DRAFTING,"A person entrusted with resources, administration, property, operations, or another defined communal responsibility.",House Steward; Steward of Finance,"Custody on behalf of others, not ownership or spiritual rank.",Native role vocabulary.,No
Ministry,Elder,PROVISIONAL_ROLE,"Possible role recognizing maturity, wisdom, long service, and sound judgment.","Elder of the Assembly, only if later adopted","No automatic executive, fiduciary, revelatory, or disciplinary authority.",Earlier candidate role.,Yes
Ministry,Commissioning,CANONICAL_PROCESS,Formal authorization for a defined ministry or service under the current working model.,commission a Minister; letter of commissioning,"Authorization must remain scoped, accountable, and reviewable; it is not ordination unless explicitly so defined.",Current authorization model pending ordination theology.,No
Ministry,Ordination,RESERVED,Possible future religious act/status for ordained ministry if theology and practice warrant it.,ordination only after formal adoption,Do not manufacture merely to imitate other religions or obtain tax treatment.,Reserved future ministry category.,Yes
Ministry,Clergy,EXTERNAL_LEGAL,External umbrella term for recognized religious ministers when law or institutions use that category.,clergy housing/tax rules; clergy credentialing,Not necessarily preferred internal self-description.,External analogue to recognized ministers.,No
Ministry,Prophet,NOT_AN_OFFICE,Historical/theological category for a person claimed to speak through revelation; not an institutional office of the Assembly.,study of prophets; claimed prophetic experience,No person becomes institutionally unquestionable or gains office by claiming prophetic status.,Reserved/non-office term.,No
Knowledge/authority,Encounter,CANONICAL_DRAFTING,"A reported or experienced event interpreted as contact with, disclosure from, or awareness of transcendent reality.",reported encounter; encounter record,Phenomenological description does not validate the interpretation.,Core epistemic vocabulary.,No
Knowledge/authority,Testimony,CANONICAL_DRAFTING,"A person's or community's account of an encounter, conviction, event, or practice.",testimony; historical testimony,"Evidence to consider, not an automatic command.",Core epistemic vocabulary.,No
Knowledge/authority,Witness,CANONICAL_DRAFTING,"A person, text, artifact, practice, or source bearing evidence concerning an encounter, event, belief, or tradition.",historical witness; textual witness,Witness does not mean proof of all attached theology.,Basis of Library of Witnesses terminology.,No
Knowledge/authority,Library of Witnesses,TECHNICAL_CANONICAL,"The broad collection of religious/historical sources preserved for study, comparison, reconstruction, and theological work.",Library of Witnesses,"Inclusion does not imply equal authority, reliability, inspiration, or doctrinal force.",Current repository/theological source architecture.,No
Knowledge/authority,Revelation,TECHNICAL_PROVISIONAL,"A claimed disclosure from God, the Divine, or transcendent reality.",revelation claim; revelation tradition,"Prefer revelation claim when evidentiary status matters; no revelation claim bypasses consent, safeguarding, law, finance, or governance.",Epistemic category.,No
Knowledge/authority,Interpretation,CANONICAL_DRAFTING,"Human assignment of meaning to an encounter, testimony, text, event, or tradition.",interpretation; competing interpretations,Must remain distinguishable from the source/testimony itself.,Core epistemic distinction.,No
Knowledge/authority,Teaching,CANONICAL_DRAFTING,A proposition or practice currently taught with a stated status or confidence where appropriate.,teaching of the Assembly; current teaching,Repetition does not silently make teaching into binding doctrine.,DOC-001/teaching-status layer.,No
Knowledge/authority,Doctrine,FORMAL_RESERVED,"A teaching formally adopted with defined authority, scope, status, and implications.",formal doctrine; adopted doctrine,"Do not label research conclusions, founder views, common opinions, or repeated teachings doctrine without the defined process.",CH-008/DOC-001 formal category.,No
Knowledge/authority,Binding doctrine,FORMAL_TECHNICAL,Doctrine actually adopted as binding by the competent religious authority through the required process.,binding doctrine,"Drafts, release snapshots, research, personal revelation, and repository metadata are not binding doctrine.",Authority terminology map.,No
Knowledge/authority,Foundational witness,RESEARCH_TECHNICAL,"A source/corpus judged especially important to identity, historical reconstruction, or constructive theology.",foundational witness proposal; foundational witness,"Does not itself mean infallible, inerrant, exclusive, or binding unless separately adopted.",Research/source architecture.,No
Knowledge/authority,HTERP proto-canon / research source-priority architecture,RESEARCH_TECHNICAL,HTERP's constructive-theology reading/source-priority architecture.,Always use the full qualified phrase on first use,Never shorten to the canon in institutional or public governing documents.,Research architecture only.,No
Knowledge/authority,Canon,RESERVED,"A formally bounded authoritative collection, if the Assembly ever constitutes one through an explicit process.",canon of [source tradition]; future Way canon only if adopted,"No Way canon should be presumed from repository placement, HTERP inclusion, liturgical use, or historical importance.",Reserved future category.,Yes — separate entrenched process if ever pursued
Knowledge/authority,Scripture,CONTEXTUAL,"A text regarded as scripture within a named tradition, or by the Assembly only if explicitly adopted as such.",Jewish scripture; Islamic scripture; Christian scripture; Buddhist scriptures where appropriate,Do not call the full Library of Witnesses our scripture.,Tradition-relative category.,No
Knowledge/authority,Sacred Sources,PROVISIONAL_UMBRELLA,"Umbrella phrase for spiritually significant texts, oral traditions, artifacts, practices, and records under study.",study of Sacred Sources,Does not equal canon or equal authority.,Source umbrella.,No
Knowledge/authority,Inquiry,CANONICAL_DRAFTING,"Disciplined investigation of religious, historical, philosophical, scientific, and experiential claims.",sacred inquiry; historical inquiry,Inquiry is not automatically doctrine and should not be framed as disloyalty.,Core practice/epistemic term.,No
Knowledge/authority,Discernment,CANONICAL_DRAFTING,"Individual and communal testing of claims, motives, interpretations, and proposed actions.",discernment process; discern a teaching,"Not a magic word that converts preference, charisma, or majority will into authority.",Core practice/governance term.,No
Knowledge/authority,canonical institutional repository,REPOSITORY_TECHNICAL,The controlled repository home for current institutional instruments and records.,canonical institutional repository,"Canonical here means designated repository home, not religious canon or adoption.",04_INSTITUTION_AND_GOVERNANCE/institution/.,No
Knowledge/authority,canonical path,REPOSITORY_TECHNICAL,The designated current repository home for a class of artifacts.,canonical path,Does not mean scriptural or doctrinal canon.,Repository-control term.,No
Practice,Prayer,CANONICAL_DRAFTING,"Intentional address, attention, petition, thanksgiving, lament, praise, silence, or communion directed toward God/the Divine as understood by the person/community.",Gathering for Prayer; daily prayer,Specific forms and metaphysical language may vary by adopted theology and conscience.,Core practice.,No
Practice,Worship,CANONICAL_DRAFTING,Personal or communal acts oriented toward reverence of God/the Divine or the sacred.,public worship; worship gathering,Do not use to settle unresolved theology of ultimate reality merely by vocabulary.,Core practice.,No
Practice,Study,CANONICAL_DRAFTING,"Serious learning from primary sources, history, languages, scholarship, and lived traditions.",Gathering for Study; study group,"Should distinguish source, interpretation, evidence, and conclusion.",Core practice.,No
Practice,Service,CANONICAL_DRAFTING,"Voluntary action for the good of persons, communities, creatures, or the world.",Gathering for Service; service project,"Do not condition aid on conversion, loyalty, donation, silence, or membership.",Core practice.,No
Practice,Offering,CANONICAL_DRAFTING,"A voluntary gift of money, goods, time, skill, or service.",make an offering; freewill offering,"No offering purchases spiritual status, office, protection, revelation, or preference.",Core practice/finance term.,No
Practice,Retreat,CANONICAL_DRAFTING,"A temporary voluntary period of intensified prayer, study, silence, fellowship, or reflection.",retreat; retreat house,"No coercive isolation, deprivation, or exit restriction.",Core practice.,No
Practice,Remembrance,PROVISIONAL,"Intentional recalling of God/the Divine, sacred history, persons, events, teachings, or obligations.",practice of remembrance,Specific ritual meaning remains subject to theological development.,Practice vocabulary.,Yes — later liturgical definition
Practice,The Common Table,CANDIDATE_CURRENT_PRACTICE,"A shared fellowship meal used in current pilot/curriculum materials to explore hospitality, equality, gratitude, and companionship.",the Common Table; Fellowship: The Common Table,Current repository sources still classify it as candidate rather than a fixed sacrament; do not overstate adoption until rite corpus is reconciled.,Candidate practice with active pilot use.,Yes — reconcile later rite decisions into CH-011
Practice,Rule of Life,PROVISIONAL,A written pattern of common practices and ethical commitments freely undertaken.,personal Rule of Life; common Rule of Life,Must not become coercive surveillance or a substitute for due process.,Formation/practice architecture.,Yes — final scope
Historical,Keren haYachad,HISTORICAL_PREDECESSOR,Earlier project/community name appearing in the predecessor FOUND-series.,"Use only in historical provenance, quotation, or crosswalk records",Do not introduce into new canonical drafting as the current identity unless explicitly restored by decision.,Predecessor to current Way/Assembly identity architecture.,No
Historical,The Confluence / Confluence,HISTORICAL_NAMING_CANDIDATE,Earlier naming concept for the religious community/local communities.,Use only when documenting naming history,Do not use as a current proper name in new governing drafts unless intentionally revived.,Earlier naming exploration superseded in current working vocabulary by The Assembly / House of Prayer.,No
Historical,Follower of the Founder,AVOID,Founder-centered identity formula.,None,Do not use as a category for participants or adherents.,Contrary to Companion/Way identity model.,No
Historical,Master,AVOID_AS_TITLE,Title implying personal spiritual domination or rank.,None,Avoid as internal leadership title.,Incompatible with lateral Companion model.,No
Historical,apostate / heretic / unbeliever,AVOID_ADMINISTRATIVE_LABEL,Traditional theological/polemical labels that are not administrative categories of the Assembly.,Use only when accurately discussing historical/source traditions,"Never use as organizational labels for former participants, critics, dissenters, or nonmembers.",Rights/anti-coercion control.,No
Document control,draft,CONTROLLED_STATUS,An artifact still subject to substantive change and not yet adopted merely by existence.,Working Draft; Provisional Constitutional Draft,Never equate draft with operative law/doctrine.,PR-CTRL production states.,No
Document control,released snapshot,CONTROLLED_STATUS,An intentionally preserved release/version that should remain byte-stable.,released snapshot; release record,Release does not itself imply institutional adoption.,03_RELEASES_AND_BASELINES lifecycle.,No
Document control,adopted,EVIDENCE_BEARING_STATUS,An instrument approved through its applicable authoritative process with an adoption record preserved.,"adopted on [date] by [authority], record [ID]",Never use merely because a file sits in a canonical folder.,ADOPT-001 / actual action required.,No
Document control,executed,EVIDENCE_BEARING_STATUS,"A document or action actually signed/completed as required, with evidence preserved.",executed instrument; executed minutes,Do not backdate or infer execution from a template.,Institution records lifecycle.,No
Document control,filed,EVIDENCE_BEARING_STATUS,"A document actually submitted to the relevant government/authority, with filing evidence preserved.",filed charter; filed application,Filing-ready or draft is not filed.,Formation/tax record lifecycle.,No
Document control,final,AVOID_UNQUALIFIED,"Ambiguous status that may mean content-complete, approved, adopted, print-ready, or merely polished.","Use CONTENT COMPLETE, APPROVED, ADOPTED/EXECUTED, PRINT MASTER, or PUBLISHED instead.",Do not label a governing document final without specifying lifecycle state.,Production-readiness terminology.,No
Document control,Print Master,CONTROLLED_STATUS,"The proofed, pagination-locked production version prepared for printing after substantive approvals are complete.",PRINT MASTER,Does not itself create adoption or legal effect.,PR-STYLE production state.,No
Document control,superseded,CONTROLLED_STATUS,A prior artifact retained for provenance but no longer controlling for current use.,SUPERSEDED; superseded by [ID/version],Never delete solely because it is superseded.,PR-XWALK / archive lifecycle.,No
